Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
505;0.00;104.95;0.00;105.00;0.00;0.00;59.01;17.20;31.91;180.04;452.66;179.83;478.94;470.10;80.49;0.08
510;0.00;104.99;0.00;104.97;0.00;0.00;58.98;17.20;31.90;180.05;453.42;179.86;485.22;475.81;80.49;0.08
515;0.00;104.98;0.00;104.98;0.00;0.00;59.00;17.19;31.91;180.07;454.00;179.91;487.93;478.37;80.49;0.07
520;0.00;105.03;0.00;104.91;0.00;0.00;58.98;17.20;31.91;180.08;454.22;179.96;490.07;480.52;80.49;0.06
525;0.00;105.01;0.00;104.99;0.00;0.00;59.02;17.22;31.91;180.07;454.97;180.09;491.57;482.15;80.49;0.06
530;0.00;104.99;0.00;105.01;0.00;0.00;59.01;17.23;31.91;180.05;455.47;180.15;493.00;483.95;80.49;0.07
535;0.00;104.95;0.00;105.01;0.00;0.00;59.01;17.19;31.91;180.03;456.25;180.20;493.11;484.27;80.49;0.08
540;0.00;105.00;0.00;104.97;0.00;0.00;58.98;17.20;31.91;180.02;458.11;180.23;492.93;484.30;80.49;0.08
545;0.00;104.99;0.00;105.00;0.00;0.00;59.02;17.20;31.92;180.04;458.64;180.25;491.98;484.10;80.49;0.07
550;0.00;105.03;0.00;104.94;0.00;0.00;58.99;17.22;31.92;180.06;458.88;180.23;491.29;483.22;80.49;0.06
555;0.00;104.99;0.00;105.00;0.00;0.00;59.01;17.23;31.93;180.08;459.15;180.19;490.50;482.60;80.49;0.06
560;0.00;105.00;0.00;105.00;0.00;0.00;59.02;17.20;31.93;180.09;459.71;180.06;489.64;481.90;80.49;0.08
565;0.00;104.94;0.00;104.99;0.00;0.00;59.00;17.22;31.94;180.08;460.31;179.99;487.76;480.30;80.49;0.09
570;0.00;105.00;0.00;104.97;0.00;0.00;58.98;17.22;31.94;180.07;460.93;179.92;486.76;479.44;80.49;0.08
575;0.00;104.99;0.00;105.01;0.00;0.00;59.01;17.23;31.94;180.03;461.36;179.84;485.75;478.54;80.49;0.07
580;0.00;105.04;0.00;104.92;0.00;0.00;59.01;17.22;31.94;180.03;461.15;179.73;483.65;477.63;80.49;0.06
585;0.00;105.03;0.00;104.99;0.00;0.00;59.02;17.19;31.95;180.03;460.99;179.70;482.59;475.75;80.49;0.06
590;0.00;105.02;0.00;104.99;0.00;0.00;59.02;17.22;31.95;180.05;460.86;179.69;481.52;474.79;80.49;0.08
595;0.00;104.95;0.00;105.01;0.00;0.00;59.01;17.20;31.95;180.08;461.33;179.71;480.44;473.83;80.49;0.08
600;0.00;104.99;0.00;104.97;0.00;0.00;59.00;17.22;31.96;180.09;461.66;179.79;478.27;471.85;80.49;0.08
605;0.00;105.00;0.00;104.99;0.00;0.00;59.02;17.22;31.96;180.08;461.60;179.87;477.20;470.88;80.49;0.07
